Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 128, 220500], float32[128, 128, 7], float32[1, 128, 1], float32[1, 128, 220500]",1,metal0,3.95248E+06,vm.builtin.call_tir_dyn,11.0645
"float32[1, 128, 220500], float32[128, 128, 7], float32[1, 128, 1], float32[1, 128, 220500]",1,metal0,3.7458E+06,vm.builtin.call_tir_dyn,10.4859
"float32[1, 256, 55125], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 55125]",1,metal0,3.72076E+06,vm.builtin.call_tir_dyn,10.4158
"float32[1, 256, 55125], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 55125]",1,metal0,3.51344E+06,vm.builtin.call_tir_dyn,9.83544
"float32[1, 64, 441000], float32[64, 64, 7], float32[1, 64, 1], float32[1, 64, 441000]",1,metal0,3.08843E+06,fused_conv1d21_add10,8.64569
"float32[1, 64, 441000], float32[64, 64, 7], float32[1, 64, 1], float32[1, 64, 441000]",1,metal0,2.98873E+06,fused_conv1d22_add10,8.3666
"float32[1, 64, 441000], float32[64, 64, 7], float32[1, 64, 1], float32[1, 64, 441000]",1,metal0,2.04061E+06,fused_conv1d19_add10,5.71245
"float32[1, 128, 220500], float32[128, 128, 7], float32[1, 128, 1], float32[1, 128, 220500]",1,metal0,1.95675E+06,vm.builtin.call_tir_dyn,5.47768
"float32[1, 256, 55125], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 55125]",1,metal0,1.93127E+06,vm.builtin.call_tir_dyn,5.40636
"float32[1, 512, 6890], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 6890]",1,metal0,1.71572E+06,vm.builtin.call_tir_dyn,4.80296
"float32[1, 512, 6890], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 6890]",1,metal0,1.61287E+06,vm.builtin.call_tir_dyn,4.51504
"float32[1, 512, 6890], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 6890]",1,metal0,978050,vm.builtin.call_tir_dyn,2.73793
"float32[1, 64, 441000], float32[128, 64, 4], float32[1, 128, 1], float32[1, 128, 220500]",1,metal0,894567,fused_conv1d23_add12,2.50423
"float32[1, 128, 220500], float32[256, 128, 8], float32[1, 256, 1], float32[1, 256, 55125]",1,metal0,333241,vm.builtin.call_tir_dyn,0.932868
"float32[1, 128, 220500], float32[128, 128, 1], float32[1, 128, 1], float32[1, 128, 220500], float32[1, 128, 220500]",1,metal0,279199,vm.builtin.call_tir_dyn,0.781584
