Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 1, 512]",1,"metal0",1006,"vm.builtin.check_tensor_info",0.914505
"float32[1, 1, 512], int64[8]",1,"cpu0",1.417,"vm.builtin.match_shape",0.00128813
"int64[8]",1,"cpu0",0.5,"shape_func1",0.000454525
"float32[1, 1, 512]",1,"metal0",80.459,"vm.builtin.cached_padding_1d_update",0.0731413
"float32[1, 1, 512]",1,"metal0",216.459,"vm.builtin.cached_padding_1d_update",0.196772
"float32[64, 1, 7], float32[64, 1, 1]",1,"metal0",243.167,"fused_tir_square14_sum14",0.221051
"float32[64, 1, 1], float32[64, 1, 7], float32[64, 1, 1], float32[64, 1, 7]",1,"metal0",200.458,"fused_tir_sqrt6_divide14_multiply14",0.182227
"float32[64]",1,"metal0",68.125,"vm.builtin.reshape",0.0619291
"int64[8]",1,"cpu0",0.583,"vm.builtin.make_shape",0.000529977
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1, 518], float32[64, 1, 7], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",204.5,"fused_conv1d18_add18",0.185901
"float32[1, 64, 512]",1,"metal0",53.834,"vm.builtin.cached_padding_1d_update",0.0489378
"int64[8]",1,"cpu0",0.875,"vm.builtin.make_shape",0.00079542
"float32[1, 64, 512]",1,"metal0",30.417,"vm.builtin.reshape",0.0276506
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int64[8]",1,"cpu0",0.291,"vm.builtin.make_shape",0.000264534
"float32[1, 64, 512], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",217.583,"snake",0.197794
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 64, 512]",1,"metal0",89.041,"vm.builtin.reshape",0.0809428
"float32[1, 64, 512]",1,"metal0",71,"vm.builtin.cached_padding_1d_update",0.0645426
"float32[1, 64, 512]",1,"metal0",363,"vm.builtin.cached_padding_1d_update",0.329986
"float32[64, 64, 7], float32[64, 1, 1]",1,"metal0",202.458,"fused_tir_square15_sum15",0.184045
"float32[64, 1, 1], float32[64, 64, 7], float32[64, 1, 1], float32[64, 64, 7]",1,"metal0",212.209,"fused_tir_sqrt6_divide15_multiply15",0.192909
"float32[64]",1,"metal0",41.834,"vm.builtin.reshape",0.0380292
"int64[8]",1,"cpu0",0.625,"vm.builtin.make_shape",0.000568157
"float32[1, 64, 518], float32[64, 64, 7], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",459.708,"fused_conv1d19_add18",0.417898
"int64[8]",1,"cpu0",0.583,"vm.builtin.make_shape",0.000529977
"float32[1, 64, 512]",1,"metal0",80.834,"vm.builtin.reshape",0.0734822
"int64[8]",1,"cpu0",0.459,"vm.builtin.make_shape",0.000417254
"int64[8]",1,"cpu0",0.5,"vm.builtin.make_shape",0.000454525
"float32[1, 64, 512], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",220.416,"snake",0.200369
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 64, 512]",1,"metal0",44.125,"vm.builtin.reshape",0.0401119
"float32[1, 64, 512]",1,"metal0",92.125,"vm.builtin.cached_padding_1d_update",0.0837463
"float32[1, 64, 512]",1,"metal0",67.667,"vm.builtin.cached_padding_1d_update",0.0615128
"float32[64, 64, 1], float32[64, 1, 1]",1,"metal0",210.25,"fused_tir_square16_sum16",0.191128
"float32[64, 1, 1], float32[64, 64, 1], float32[64, 1, 1], float32[64, 64, 1]",1,"metal0",209.958,"fused_tir_sqrt6_divide16_multiply16",0.190863
"float32[64]",1,"metal0",60.042,"vm.builtin.reshape",0.0545812
"float32[1, 64, 512]",1,"metal0",371.459,"vm.builtin.cached_padding_1d_update",0.337675
"int64[8]",1,"cpu0",0.5,"vm.builtin.make_shape",0.000454525
"float32[1, 64, 512], float32[64, 64, 1], float32[1, 64, 1], float32[1, 64, 512], float32[1, 64, 512]",1,"metal0",218.584,"fused_conv1d20_add18_add19_add20",0.198704
"float32[1, 64, 512]",1,"metal0",109.292,"vm.builtin.cached_padding_1d_update",0.099352
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 64, 512]",1,"metal0",79,"vm.builtin.reshape",0.071815
"int64[8]",1,"cpu0",0.583,"vm.builtin.make_shape",0.000529977
