Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 1, 512]",1,"metal0",875.334,"vm.builtin.check_tensor_info",1.86961
"float32[1, 1, 512]",1,"metal0",67.583,"vm.builtin.match_shape",0.144349
"float32[1, 1, 512]",1,"metal0",51.708,"vm.builtin.cached_padding_1d_update",0.110442
"float32[1, 1, 512]",1,"metal0",213.667,"vm.builtin.cached_padding_1d_update",0.456367
"float32[1, 1, 518], float32[64, 1, 7], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",196.917,"fused_conv1d18_add181",0.420591
"float32[1, 64, 512]",1,"metal0",35.708,"vm.builtin.cached_padding_1d_update",0.0762679
"float32[1, 64, 512], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",205.209,"fused_reshape12_snake_reshape121",0.438301
"float32[1, 64, 512]",1,"metal0",72.916,"vm.builtin.cached_padding_1d_update",0.15574
"float32[1, 64, 512]",1,"metal0",244.708,"vm.builtin.cached_padding_1d_update",0.522666
"float32[1, 64, 518], float32[64, 64, 7], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",186.125,"fused_conv1d19_add181",0.39754
"float32[1, 64, 512], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",172.167,"fused_reshape12_snake_reshape121",0.367728
"float32[1, 64, 512]",1,"metal0",55.708,"vm.builtin.cached_padding_1d_update",0.118985
"float32[1, 64, 512]",1,"metal0",54.958,"vm.builtin.cached_padding_1d_update",0.117384
"float32[1, 64, 512]",1,"metal0",333.542,"vm.builtin.cached_padding_1d_update",0.712405
"float32[1, 64, 512], float32[64, 64, 1], float32[1, 64, 1], float32[1, 64, 512], float32[1, 64, 512]",1,"metal0",161.292,"fused_conv1d20_add18_add19_add201",0.3445
"float32[1, 64, 512]",1,"metal0",86.208,"vm.builtin.cached_padding_1d_update",0.18413
"float32[1, 64, 512], float32[1, 64, 1], float32[1, 64, 512]",1,"metal0",165.917,"fused_reshape12_snake_reshape121",0.354378
"float32[1, 64, 512]",1,"metal0",53.417,"vm.builtin.cached_padding_1d_update",0.114092
